Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UK,2011,exante,3,0.983,7.94,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,5,0.904,13.75,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,6,0.823,19.16,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,10,1.165,20.72,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,11,1.264,6.61,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,12,1.034,10.21,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,15,1.08,4.44,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,16,0.92,16.15,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2011,exante,17,1.406,1.02,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
