Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
MNE,2022,exante,2,0.858,48.21,,,,,,,
MNE,2022,exante,4,1.277,17.22,,,,,,,
MNE,2022,exante,6,1.344,4.3,,,,,,,
MNE,2022,exante,7,1.02,30.27,,,,,,,
