Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
KAZ,2022,exante,3,0.884,16.93,"Rural,Urban,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim,Others","Male,Female"
KAZ,2022,exante,5,1.17,15.52,"Rural,Urban,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim,Others","Male,Female"
KAZ,2022,exante,6,1.719,2.97,"Rural,Urban,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim,Others","Male,Female"
KAZ,2022,exante,7,0.953,64.58,"Rural,Urban,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked,Others","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim,Others","Male,Female"
