Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IND,2012,exante,7,1.116,1.29,,,,,,,
IND,2012,exante,8,1.517,0.75,,,,,,,
IND,2012,exante,11,1.333,0.93,,,,,,,
IND,2012,exante,12,1.152,0.91,,,,,,,
IND,2012,exante,14,0.949,0.95,,,,,,,
IND,2012,exante,17,1.049,0.47,,,,,,,
IND,2012,exante,18,0.936,0.63,,,,,,,
IND,2012,exante,19,0.771,0.49,,,,,,,
IND,2012,exante,23,0.741,1.66,,,,,,,
IND,2012,exante,24,1.097,2.21,,,,,,,
IND,2012,exante,27,0.747,8.65,,,,,,,
IND,2012,exante,28,0.541,1.43,,,,,,,
IND,2012,exante,30,0.843,2.36,,,,,,,
IND,2012,exante,31,0.788,2.13,,,,,,,
IND,2012,exante,33,1.254,1.83,,,,,,,
IND,2012,exante,35,0.992,2.14,,,,,,,
IND,2012,exante,36,0.864,1.96,,,,,,,
IND,2012,exante,40,1.972,0.69,,,,,,,
IND,2012,exante,41,2.266,0.65,,,,,,,
IND,2012,exante,42,1.633,0.88,,,,,,,
IND,2012,exante,45,1.38,1.16,,,,,,,
IND,2012,exante,46,1.202,2.18,,,,,,,
IND,2012,exante,48,1.636,0.83,,,,,,,
IND,2012,exante,49,1.404,1.07,,,,,,,
IND,2012,exante,55,0.522,1.76,,,,,,,
IND,2012,exante,56,0.597,2.57,,,,,,,
IND,2012,exante,59,0.459,5.06,,,,,,,
IND,2012,exante,60,0.4,2.6,,,,,,,
IND,2012,exante,63,0.43,3.18,,,,,,,
IND,2012,exante,64,0.42,0.87,,,,,,,
IND,2012,exante,66,0.384,1.67,,,,,,,
IND,2012,exante,67,0.343,1.18,,,,,,,
IND,2012,exante,69,0.725,1.65,,,,,,,
IND,2012,exante,71,0.58,2.86,,,,,,,
IND,2012,exante,72,0.694,0.88,,,,,,,
IND,2012,exante,73,0.68,11.8,,,,,,,
IND,2012,exante,76,0.915,1.31,,,,,,,
IND,2012,exante,78,0.716,1.24,,,,,,,
IND,2012,exante,79,0.811,1.52,,,,,,,
IND,2012,exante,80,1.041,3.33,,,,,,,
IND,2012,exante,86,1.569,0.93,,,,,,,
IND,2012,exante,87,1.294,1.43,,,,,,,
IND,2012,exante,89,2.043,0.84,,,,,,,
IND,2012,exante,90,1.622,1.83,,,,,,,
IND,2012,exante,92,0.895,1.48,,,,,,,
IND,2012,exante,94,1.263,1.3,,,,,,,
IND,2012,exante,95,1.316,1.36,,,,,,,
IND,2012,exante,98,2.566,0.75,,,,,,,
IND,2012,exante,99,2.609,0.8,,,,,,,
IND,2012,exante,102,2.071,2.57,,,,,,,
IND,2012,exante,103,1.395,1.67,,,,,,,
IND,2012,exante,104,2.259,1.7,,,,,,,
IND,2012,exante,105,3.475,1.63,,,,,,,
