Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
SRB,2022,exante,2,1.061,70.91,,,,,,,
SRB,2022,exante,4,0.712,8.72,,,,,,,
SRB,2022,exante,5,0.912,20.37,,,,,,,
