"var","cat","value","value2"
"Sex","0",5859.81175553203,1.54492223138224
"Sex","1",5689.38860294742,-1.40834768540203
"Ethnicity","-99",6555.29867137167,13.597043993691
"Ethnicity","-95",6211.74445389024,7.6435786347602
"Ethnicity","1",6582.69993998692,14.0718817199967
"Ethnicity","4",5706.31363124276,-1.11505316439768
"Ethnicity","5",6330.91827766699,9.70874679583663
"Ethnicity","6",5979.45181046681,3.61816973163533
"Ethnicity","7",5808.46537878702,0.655138727925276
"Ethnicity","8",5899.91394800416,2.23985479675792
"Father_Occ","-99",5919.74052384023,2.58343035607297
"Father_Occ","-97",5878.84159545353,1.87469112081453
"Father_Occ","1",5890.70057516125,2.08019587461946
"Father_Occ","2",6024.46522147331,4.39820900776201
"Father_Occ","3",5827.34729431608,0.982344229393419
"Father_Occ","4",5416.44309438147,-6.13823178356765
"Father_Occ","5",5966.37544827409,3.39156890599004
"Father_Occ","6",6148.80217998788,6.55284934598265
"Father_Occ","7",5832.91207696935,1.07877658001071
"Father_Occ","8",6247.31678818391,8.26001309889273
"Father_Occ","9",6031.89955444437,4.52703887378557
"Father_Occ","10",5864.23592395959,1.62158883052525
"Father_Occ","11",6038.10420705794,4.63455955762373
"Father_Occ","12",5526.11362492874,-4.23774658709637
"Mother_Occ","-99",5968.05809214851,3.42072751184627
"Mother_Occ","-97",5613.34439483419,-2.72612093839342
"Mother_Occ","1",5858.76779077008,1.52683132249513
"Mother_Occ","2",6032.32488538992,4.53440945147479
"Mother_Occ","3",6173.58574230362,6.98232473068113
"Mother_Occ","4",5838.64202683571,1.17807112015011
"Mother_Occ","5",6480.64252545607,12.3033245283962
"Mother_Occ","6",5764.18111630572,-0.112265103007161
"Mother_Occ","7",5733.57507334007,-0.642638497651248
"Mother_Occ","8",6242.69202395147,8.17987036668332
"Mother_Occ","9",6120.56916010874,6.06359816734573
"Mother_Occ","10",6068.10751439362,5.15448812140558
"Mother_Occ","11",6277.47314239052,8.78259381828217
"Mother_Occ","12",5557.44599341001,-3.69478666730842
"Mother_Edu","-97",5865.18660902743,1.63806329170372
"Mother_Edu","1",5929.98867217855,2.76102094591536
"Mother_Edu","2",5711.84419047482,-1.01921387287345
"Mother_Edu","3",5644.75695695605,-2.18177133966429
"Mother_Edu","4",5957.20969091024,3.23273511447353
"Mother_Edu","5",6018.20432178236,4.2897136159747
"Mother_Edu","6",6170.31249984043,6.92560257556164
"Mother_Edu","7",6185.00686886699,7.18024190909189
"Mother_Edu","8",6189.26037144582,7.25395103262649
"Father_Edu","-97",5959.92142643338,3.27972689241761
"Father_Edu","1",4980.65847182981,-13.6899616774271
"Father_Edu","2",5574.06747761766,-3.40675227445566
"Father_Edu","3",5997.93004293072,3.93837979243628
"Father_Edu","4",5817.93291717645,0.819202095416443
"Father_Edu","5",7705.35275799736,33.5263792113348
"Father_Edu","6",6434.47936447899,11.5033611870915
"Father_Edu","7",6684.65067041367,15.8385901783091
"Father_Edu","8",6212.50729763646,7.65679798584449
"Birth_Area","0",5550.40072349662,-3.81687444338398
"Birth_Area","1",5926.29032399978,2.69693211612606
