"","var","cat","value","value2"
"1","Sex","0",55189.9670051433,3.20273105683906
"2","Sex","1",52205.5130600688,-2.37806223873102
"3","Ethnicity","1",49227.5342218737,-7.94674737859657
"4","Ethnicity","2",53389.4096970393,-0.164229311217781
"5","Ethnicity","3",60422.4890899827,12.9873096455584
"6","Ethnicity","4",57552.8105210696,7.62114108924251
"7","Ethnicity","6",53441.7069905688,-0.0664357481481659
"8","Father_Occ","1",59182.2033674651,10.66803168979
"9","Father_Occ","2",55686.9773935125,4.13211790424454
"10","Father_Occ","3",57379.4374303212,7.2969412857649
"11","Father_Occ","4",54729.9642996379,2.342546895155
"12","Father_Occ","5",53283.4015515404,-0.362459727422433
"13","Father_Occ","6",52235.6207362797,-2.32176225198806
"14","Father_Occ","7",51575.0164786091,-3.55706220302856
"15","Father_Occ","8",50375.6182127424,-5.79988247234931
"16","Mother_Occ","1",58475.261131365,9.34608182418913
"17","Mother_Occ","2",59515.1168544336,11.2905647863871
"18","Mother_Occ","3",55332.8422238014,3.46990122500556
"19","Mother_Occ","4",55418.9603776384,3.63093826039128
"20","Mother_Occ","5",55097.5414505302,3.02989946854298
"21","Mother_Occ","6",51188.8915372149,-4.2790983020415
"22","Mother_Occ","7",51978.4689785604,-2.8026243566931
"23","Mother_Occ","8",50123.9382517981,-6.27051256566524
"24","Mother_Edu","1",50062.7964951308,-6.38484487300458
"25","Mother_Edu","2",54210.325019719,1.37084504856681
"26","Mother_Edu","3",56309.1532147948,5.29555842501689
"27","Mother_Edu","4",60074.1772369173,12.3359823038975
"28","Father_Edu","1",53030.8916664686,-0.834641741153916
"29","Father_Edu","2",53779.2584501392,0.56477014651459
"30","Father_Edu","3",53191.0254156261,-0.535198904996975
"31","Father_Edu","4",56959.3218729107,6.51134427897219
