,var,cat,value,value2,class
1,Sex,0,3320.92573901477,-5.430385806723,Female
2,Sex,1,3550.87494260162,1.11785079242213,Male
3,Ethnicity,2,3749.34578244136,6.7696817056387,Forward caste
4,Ethnicity,3,3345.90155732504,-4.71915234732494,Other Backward castes (OBC)
5,Ethnicity,4,3232.34344151639,-7.95293354103687,Dalit
6,Ethnicity,5,3051.67040254183,-13.0979385588304,Adivasi
7,Ethnicity,6,3408.83758120224,-2.92693054994992,Muslim
8,Ethnicity,7,4446.42470572332,26.6203167447099,"Christian, Sikh, Jain"
9,Mother_Edu,0,3082.0649273945,-12.2323972264435,
10,Mother_Edu,1,3559.67916024206,1.36856746932609,Incomplete primary
11,Mother_Edu,2,4154.90812404064,18.3188331141687,Complete primary
12,Mother_Edu,3,4234.21458720057,20.5772339979814,Incomplete secondary
13,Mother_Edu,4,5375.83196936977,53.086938782922,Complete secondary
14,Mother_Edu,5,6411.69640976897,82.5851294031522,Higher secondary
15,Mother_Edu,6,10822.2660572464,208.184405844144,Post-secondary or higher
16,Father_Edu,0,2811.73353089236,-19.930592814256,
17,Father_Edu,1,3231.09620633013,-7.9884509116865,Incomplete primary
18,Father_Edu,2,3384.72818119713,-3.61349111651988,Complete primary
19,Father_Edu,3,3949.84972409206,12.4794090215417,Incomplete secondary
20,Father_Edu,4,4634.95517623697,31.9890769222386,Complete secondary
21,Father_Edu,5,5225.27293644249,48.7994867962748,Higher secondary
22,Father_Edu,6,7003.32714109774,99.4329286024344,Post-secondary or higher
23,Birth_Area,1,5301.71679997634,50.9763697650535,Jammu & Kashmir
24,Birth_Area,2,3997.53545508916,13.8373500106882,Himachal Pradesh
25,Birth_Area,3,4751.76766810953,35.3155326028227,Punjab
26,Birth_Area,4,4972.03969430956,41.5881933523785,Another State
27,Birth_Area,5,3224.17934517018,-8.18542155864803,Uttarakhand
28,Birth_Area,6,5145.26002736069,46.5209685344989,Haryana
29,Birth_Area,7,5770.89914589373,64.3372206020458,Delhi
30,Birth_Area,8,3481.7024627593,-0.85196583269186,Rajasthan
31,Birth_Area,9,2346.26986142535,-33.1855473365279,Uttar Pradesh
32,Birth_Area,10,2016.18126373211,-42.5854417595542,Bihar
33,Birth_Area,11,2657.66142795298,-24.3180860851073,Overseas
34,Birth_Area,18,3575.93222741753,1.83140416398125,Northeast
35,Birth_Area,19,2917.16685413155,-16.9281803890979,West Bengal
36,Birth_Area,20,2587.01081802411,-26.3299952479647,Jharkhand
37,Birth_Area,21,2384.7435696766,-32.0899360426164,Orissa
38,Birth_Area,22,2623.86073302037,-25.2806245248228,Chhattisgarh
39,Birth_Area,23,2618.07765795509,-25.4453084776582,Madhya Pradesh
40,Birth_Area,24,3573.18567635489,1.75319095032688,Gujarat
41,Birth_Area,27,3693.41807152123,5.17703481736493,Maharashtra
42,Birth_Area,28,3127.67794288406,-10.9334807145916,Andhra Pradesh
43,Birth_Area,29,3560.15439546273,1.38210068716991,Karnataka
44,Birth_Area,32,3628.90624867521,3.33993917689953,Kerala
45,Birth_Area,33,4061.14765717025,15.6488272557587,Tamil Nadu
