"var","cat","value","value2"
"Sex","0",6717.41314170857,4.7433681145115
"Sex","1",6137.29628291199,-4.30228568234719
"Ethnicity","-99",6746.3911920888,5.19521744016505
"Ethnicity","-95",6896.42089441342,7.5346025586902
"Ethnicity","1",6973.41225816991,8.73511450956501
"Ethnicity","4",6627.65680350157,3.34381430189082
"Ethnicity","5",7029.1662707117,9.60447641069116
"Ethnicity","7",6210.05297445864,-3.16780418408307
"Ethnicity","8",6867.65251375079,7.0860225737709
"Father_Occ","-99",6293.59789574636,-1.86510383501502
"Father_Occ","-97",6729.100819162,4.92561188545172
"Father_Occ","1",6289.94734311898,-1.92202622010659
"Father_Occ","2",6353.13269914129,-0.93678876847531
"Father_Occ","3",6497.52777498621,1.31473667206063
"Father_Occ","4",6393.9526926669,-0.300290235768159
"Father_Occ","5",6671.38397404377,4.02564390267416
"Father_Occ","6",6567.44479955889,2.40493977373032
"Father_Occ","7",6554.49269588538,2.2029800409713
"Father_Occ","8",6733.75730004385,4.99821952187914
"Father_Occ","9",6427.73149264197,0.226416281400986
"Father_Occ","10",6761.56094731123,5.43175659920595
"Father_Occ","11",6205.52157374013,-3.23846146889197
"Father_Occ","12",6449.18466624804,0.560931609376425
"Mother_Occ","-99",6393.30388536372,-0.310406966830939
"Mother_Occ","-97",6684.49362704717,4.23006027269948
"Mother_Occ","1",6633.85759261284,3.44050204801887
"Mother_Occ","2",6611.59088437853,3.09330142657673
"Mother_Occ","3",7288.61080093908,13.6499464988971
"Mother_Occ","4",6592.31875495534,2.79279471306364
"Mother_Occ","5",6345.73680957502,-1.05211149271926
"Mother_Occ","6",6654.11869740232,3.75642966964961
"Mother_Occ","7",6768.23440122548,5.53581451929948
"Mother_Occ","8",6708.13155133992,4.59864200995865
"Mother_Occ","9",6719.30638569181,4.7728891142302
"Mother_Occ","10",6852.94045364477,6.85662016916977
"Mother_Occ","11",6491.33742665527,1.21821172706979
"Mother_Occ","12",6205.7130220002,-3.23547625194074
"Mother_Edu","-97",6444.91049252601,0.494285217066235
"Mother_Edu","1",6165.26749192078,-3.86613584609186
"Mother_Edu","2",6452.7477107952,0.616489497322007
"Mother_Edu","3",6570.90569630412,2.45890489008467
"Mother_Edu","4",6722.670089297,4.82533871611032
"Mother_Edu","5",7165.11823479234,11.7243499869005
"Mother_Edu","6",7070.7400114606,10.2527279830296
"Mother_Edu","7",7603.84180373886,18.5652846314219
"Mother_Edu","8",7553.8368990686,17.7855674952393
"Father_Edu","-97",6279.67594650851,-2.08218618846402
"Father_Edu","1",6587.5530642875,2.71848418884686
"Father_Edu","2",6071.11592386511,-5.33422365658856
"Father_Edu","3",6471.73042568071,0.912483424019754
"Father_Edu","4",6667.13290397792,3.95935776135833
"Father_Edu","5",6586.46226567687,2.70147556990354
"Father_Edu","6",7002.4718206519,9.18823483819246
"Father_Edu","7",7299.6744556133,13.8224599992262
"Father_Edu","8",6787.64305493872,5.83845003056069
"Birth_Area","0",6249.78865173896,-2.54821319200749
"Birth_Area","1",6712.7406300878,4.67051051376721
