"var","cat","value","value2"
"Sex","0",8883.12747011329,0.0992397376384702
"Sex","1",8873.29645810184,-0.0115407089450201
"Birth_Area","0",7790.39684991332,-12.2141605471218
"Birth_Area","1",10402.672855765,17.2221886497552
"Mother_Edu","0",7127.88487676273,-19.6796556728617
"Mother_Edu","3",7819.21947040362,-11.8893737636346
"Mother_Edu","6",9243.65684375235,4.16185353281084
"Mother_Edu","9",9947.52911280674,12.0934158391944
"Mother_Edu","12",13108.9104187739,47.7173406689093
"Mother_Edu","15",14189.8924978869,59.8983528916063
"Father_Edu","0",6829.78123370412,-23.0388271058488
"Father_Edu","3",8256.21420018094,-6.9651125316265
"Father_Edu","6",8829.18163691325,-0.508647170266997
"Father_Edu","9",9857.67045511151,11.0808464091824
"Father_Edu","12",10439.897796823,17.6416567156732
"Father_Edu","15",14867.7823908802,67.5371336186377
"Ethnicity","1",10655.337399479,20.0693310350836
"Ethnicity","2",8776.4969180462,-1.10232325136865
