"var","cat","value","value2"
"Sex","0",8376.3668487571,11.4565854721523
"Sex","1",7110.95307697398,-5.38110809583073
"Ethnicity","-99",7461.77834083877,-0.712999987177596
"Ethnicity","-95",7964.30010312754,5.97359346813012
"Ethnicity","1",7643.01081882376,1.69849338907802
"Ethnicity","2",7604.91306809828,1.1915617698329
"Ethnicity","3",7847.42513672834,4.41844612116785
"Ethnicity","4",7585.42652210031,0.932272280870066
"Ethnicity","5",7934.02128530953,5.57070117519891
"Ethnicity","6",7911.20540499724,5.26711130621808
"Ethnicity","7",7191.7212912134,-4.30639998713022
"Ethnicity","8",7387.2309100501,-1.70493386990375
"Father_Occ","-99",7731.9863034131,2.88240807215199
"Father_Occ","-97",7442.08989307566,-0.97497599665094
"Father_Occ","1",8032.74741382518,6.88435868088372
"Father_Occ","2",7959.34436236643,5.90765199807606
"Father_Occ","3",7852.34298013472,4.48388332608715
"Father_Occ","4",7447.95026949168,-0.896997374570034
"Father_Occ","5",7414.95251942562,-1.33606799039099
"Father_Occ","6",7996.85176203574,6.40672836048498
"Father_Occ","7",7434.19203000562,-1.0800655738158
"Father_Occ","8",8622.70677275081,14.7344035631643
"Father_Occ","9",7474.5844212221,-0.542601290632902
"Father_Occ","10",7483.85335036162,-0.419268202251331
"Father_Occ","11",7481.89513922133,-0.44532431121489
"Father_Occ","12",7874.26925429181,4.77563602672707
"Mother_Occ","-99",7768.72133775465,3.37120728174241
"Mother_Occ","-97",7781.3451556267,3.53918077920797
"Mother_Occ","1",7086.82168304858,-5.70220229074496
"Mother_Occ","2",8093.51611643334,7.69295174021023
"Mother_Occ","3",7707.44916935261,2.55591506760314
"Mother_Occ","4",7429.71364302087,-1.13965533758285
"Mother_Occ","5",8191.19793706376,8.99271360436325
"Mother_Occ","6",7762.73997437531,3.29161879776521
"Mother_Occ","7",7548.5144315123,0.441117147163183
"Mother_Occ","8",8108.00515879547,7.88574405907634
"Mother_Occ","9",8023.64363648617,6.76322311513947
"Mother_Occ","10",7797.58636627968,3.75528758493891
"Mother_Occ","11",7421.05462661975,-1.25487287987083
"Mother_Occ","12",8074.57753286413,7.44095348172708
"Mother_Edu","-97",7091.2329987826,-5.64350498223034
"Mother_Edu","1",7705.47981427298,2.52971067652021
"Mother_Edu","2",7272.25827666512,-3.23476862657185
"Mother_Edu","3",7234.04809234552,-3.74319629592074
"Mother_Edu","4",7437.4187068174,-1.0371311624706
"Mother_Edu","5",7627.5571331509,1.49286545167305
"Mother_Edu","6",7904.80375239813,5.18193042135974
"Mother_Edu","7",7875.13427186093,4.78714601743891
"Mother_Edu","8",8276.34626421427,10.1257038344019
"Father_Edu","-99",7841.80190665756,4.34362298670747
"Father_Edu","-97",6955.12975513627,-7.45450527417137
"Father_Edu","1",7543.4251723765,0.373399071283615
"Father_Edu","2",7075.02904706062,-5.85911601774218
"Father_Edu","3",7176.12871327108,-4.51387603582039
"Father_Edu","4",7350.03124288896,-2.19991551974594
"Father_Edu","5",7782.46176014846,3.55403840538003
"Father_Edu","6",8122.34743307302,8.07658347045168
"Father_Edu","7",8224.21660101444,9.43206250195145
"Father_Edu","8",8466.30222090847,12.653272493405
"Birth_Area","0",6713.71192793736,-10.6668295643485
"Birth_Area","1",7898.21210606997,5.09422146524035
