"var","cat","value","value2"
"Sex","0",8338.42662158363,1.40693548621569
"Sex","1",8133.3566481985,-1.08700233982428
"Ethnicity","-99",9165.72955592056,11.4680967936385
"Ethnicity","-95",9943.705446172,20.9293722227885
"Ethnicity","1",10175.101401239,23.7434708234177
"Ethnicity","4",10072.5849043689,22.4967267725118
"Ethnicity","6",10144.3491522646,23.3694804449774
"Ethnicity","7",8185.64615072229,-0.451088821642003
"Father_Occ","-99",7773.65496769939,-5.46147809694607
"Father_Occ","-97",7230.19177904823,-12.0707509264303
"Father_Occ","1",8343.99321561027,1.47463305878601
"Father_Occ","2",8630.35729863795,4.95722101104924
"Father_Occ","3",8462.28126202443,2.9131812209132
"Father_Occ","4",9860.9038913217,19.9223894535058
"Father_Occ","5",9138.24406879355,11.1338348103669
"Father_Occ","6",10494.7136036873,27.6304024311608
"Father_Occ","7",9771.12941582236,18.830606212084
"Father_Occ","8",9187.19615726518,11.7291607037085
"Father_Occ","9",8590.3830110649,4.47107773906365
"Father_Occ","10",9434.66186189261,14.7386899450222
"Father_Occ","11",9092.65433958483,10.5793999105339
"Father_Occ","12",7327.43463867863,-10.8881416836375
"Mother_Occ","-99",7818.33638899203,-4.91808949234682
"Mother_Occ","-97",7914.02979405327,-3.75432378523088
"Mother_Occ","1",7794.33418936956,-5.2099898254796
"Mother_Occ","2",9086.03522980551,10.4989022736499
"Mother_Occ","3",7565.08829410932,-7.99794069032995
"Mother_Occ","4",7429.00728076765,-9.65287622758315
"Mother_Occ","5",7535.78653520307,-8.35429107990423
"Mother_Occ","6",7538.425445787,-8.32219823463704
"Mother_Occ","7",8206.02906847272,-0.203204020450784
"Mother_Occ","8",8395.16203702116,2.09691752649235
"Mother_Occ","9",8124.21147313477,-1.1982204652314
"Mother_Occ","10",9090.90552103079,10.5581318298352
"Mother_Occ","11",8341.76292655228,1.44750962304893
"Mother_Occ","12",8958.72277696167,8.95060470169444
"Mother_Edu","-99",8935.77097712568,8.67147869976543
"Mother_Edu","-97",8636.47822981469,5.03166009903596
"Mother_Edu","1",7138.13406116372,-13.1903015901441
"Mother_Edu","2",8325.449344342,1.24911363615317
"Mother_Edu","3",9035.7131128736,9.88691491718208
"Mother_Edu","4",9938.58499055809,20.8671003175881
"Mother_Edu","5",8387.35093401882,2.0019235840879
"Mother_Edu","6",9279.23512710673,12.8484833649862
"Mother_Edu","7",11452.4537310261,39.2778625232377
"Father_Edu","-99",9195.77964946334,11.8335479795205
"Father_Edu","-97",9457.35305911169,15.0146466544744
"Father_Edu","1",7423.92399617891,-9.71469608110495
"Father_Edu","2",7769.49707604677,-5.51204387748362
"Father_Edu","3",8416.82737819174,2.36039839093799
"Father_Edu","4",9352.48634600699,13.7393206855519
"Father_Edu","5",8492.64393267415,3.28243378179742
"Father_Edu","6",9737.76779691104,18.4248822439796
"Father_Edu","7",16953.7500004613,106.181322996363
"Father_Edu","8",9760.62537224033,18.7028623440609
"Birth_Area","0",8026.12438962926,-2.39109665164868
"Birth_Area","1",8283.17389754903,0.734985048094458
