Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IND,2005,expost,7,1.276,1.46,,,,,,,
IND,2005,expost,8,1.31,0.89,,,,,,,
IND,2005,expost,9,1.79,0.43,,,,,,,
IND,2005,expost,11,1.264,0.94,,,,,,,
IND,2005,expost,14,1.166,0.75,,,,,,,
IND,2005,expost,15,1.124,0.58,,,,,,,
IND,2005,expost,17,1.024,0.99,,,,,,,
IND,2005,expost,18,0.865,1.31,,,,,,,
IND,2005,expost,23,0.911,2.28,,,,,,,
IND,2005,expost,24,1.035,1.75,,,,,,,
IND,2005,expost,26,0.721,3.18,,,,,,,
IND,2005,expost,28,0.988,1.47,,,,,,,
IND,2005,expost,29,0.835,1.84,,,,,,,
IND,2005,expost,31,1.285,1.88,,,,,,,
IND,2005,expost,33,1.002,1.88,,,,,,,
IND,2005,expost,34,0.958,1.09,,,,,,,
IND,2005,expost,38,0.709,1.73,,,,,,,
IND,2005,expost,40,0.792,0.92,,,,,,,
IND,2005,expost,41,0.714,1.67,,,,,,,
IND,2005,expost,42,0.594,1.05,,,,,,,
IND,2005,expost,43,0.948,1.23,,,,,,,
IND,2005,expost,47,0.869,1.43,,,,,,,
IND,2005,expost,48,0.641,1.66,,,,,,,
IND,2005,expost,55,0.527,3.38,,,,,,,
IND,2005,expost,56,0.53,1.1,,,,,,,
IND,2005,expost,57,0.609,2.2,,,,,,,
IND,2005,expost,58,0.542,2.54,,,,,,,
IND,2005,expost,59,0.681,2.39,,,,,,,
IND,2005,expost,61,0.53,3.41,,,,,,,
IND,2005,expost,62,0.535,2.63,,,,,,,
IND,2005,expost,65,0.389,0.97,,,,,,,
IND,2005,expost,66,0.427,1.07,,,,,,,
IND,2005,expost,67,0.509,1.0,,,,,,,
IND,2005,expost,71,0.892,1.52,,,,,,,
IND,2005,expost,72,0.778,1.02,,,,,,,
IND,2005,expost,73,1.152,1.31,,,,,,,
IND,2005,expost,78,0.638,1.62,,,,,,,
IND,2005,expost,79,0.657,1.94,,,,,,,
IND,2005,expost,80,0.782,1.62,,,,,,,
IND,2005,expost,81,0.9,1.32,,,,,,,
IND,2005,expost,86,0.664,2.56,,,,,,,
IND,2005,expost,87,0.695,1.84,,,,,,,
IND,2005,expost,88,0.844,1.14,,,,,,,
IND,2005,expost,89,0.97,0.8,,,,,,,
IND,2005,expost,91,0.614,2.98,,,,,,,
IND,2005,expost,92,0.556,0.91,,,,,,,
IND,2005,expost,97,1.657,1.24,,,,,,,
IND,2005,expost,99,1.554,2.04,,,,,,,
IND,2005,expost,101,1.336,1.03,,,,,,,
IND,2005,expost,102,1.231,1.27,,,,,,,
IND,2005,expost,106,1.793,1.13,,,,,,,
IND,2005,expost,107,2.335,1.09,,,,,,,
IND,2005,expost,108,1.717,1.29,,,,,,,
IND,2005,expost,110,2.368,1.09,,,,,,,
IND,2005,expost,111,2.69,0.61,,,,,,,
IND,2005,expost,115,1.071,1.54,,,,,,,
IND,2005,expost,118,0.751,1.36,,,,,,,
IND,2005,expost,119,0.795,1.15,,,,,,,
IND,2005,expost,120,0.959,1.44,,,,,,,
IND,2005,expost,123,1.335,0.99,,,,,,,
IND,2005,expost,124,1.039,1.55,,,,,,,
IND,2005,expost,125,1.46,1.84,,,,,,,
IND,2005,expost,126,1.651,2.16,,,,,,,
IND,2005,expost,129,2.517,1.2,,,,,,,
IND,2005,expost,130,1.798,0.95,,,,,,,
IND,2005,expost,131,3.758,1.33,,,,,,,
