,Name,c,y,Year,Measure,Approach,Region,Total Inequality,IOp Ex-Ante Tree,IOp Ex-Ante RF,IOp Ex-Post,Latest
51,Austria,AT,2019,2019 (Income),MLD,Absolute,Europe,0.1555,0.0167,0.016,0.0157,1
52,Austria,AT,2019,2019 (Income),MLD,Relative,Europe,0.1555,10.7395498392283,10.2893890675241,10.096463022508,1
53,Belgium,BE,2005,2005 (Income),Gini,Absolute,Europe,0.2604,0.1067,0.1119,0.0916,0
54,Belgium,BE,2005,2005 (Income),Gini,Relative,Europe,0.2604,40.9754224270353,42.9723502304147,35.1766513056836,0
55,Belgium,BE,2005,2005 (Income),MLD,Absolute,Europe,0.1222,0.0201,0.0206,0.0168,0
56,Belgium,BE,2005,2005 (Income),MLD,Relative,Europe,0.1222,16.4484451718494,16.8576104746317,13.7479541734861,0
57,Belgium,BE,2011,2011 (Income),Gini,Absolute,Europe,0.2562,0.0892,0.1056,0.1388,0
58,Belgium,BE,2011,2011 (Income),Gini,Relative,Europe,0.2562,34.8165495706479,41.2177985948478,54.176424668228,0
59,Belgium,BE,2011,2011 (Income),MLD,Absolute,Europe,0.1253,0.0164,0.0203,0.0354,0
60,Belgium,BE,2011,2011 (Income),MLD,Relative,Europe,0.1253,13.0885873902634,16.2011173184357,28.2521947326417,0
61,Belgium,BE,2019,2019 (Income),Gini,Absolute,Europe,0.2428,0.0966,0.1041,0.1071,1
62,Belgium,BE,2019,2019 (Income),Gini,Relative,Europe,0.2428,39.7858319604613,42.8747940691928,44.1103789126853,1
63,Belgium,BE,2019,2019 (Income),MLD,Absolute,Europe,0.1064,0.0179,0.0191,0.0214,1
64,Belgium,BE,2019,2019 (Income),MLD,Relative,Europe,0.1064,16.8233082706767,17.9511278195489,20.1127819548872,1
65,Benin,BEN,2018,2018 (Consumption),Gini,Absolute,Africa,0.3483,0.14,0.1296,0.1325,1
66,Benin,BEN,2018,2018 (Consumption),Gini,Relative,Africa,0.3483,40.1952339936836,37.2093023255814,38.0419178868791,1
67,Benin,BEN,2018,2018 (Consumption),MLD,Absolute,Africa,0.1988,0.0361,0.032,0.0331,1
68,Benin,BEN,2018,2018 (Consumption),MLD,Relative,Africa,0.1988,18.158953722334,16.0965794768612,16.6498993963783,1
69,Bolivia,BOL,2008,2008 (Income),Gini,Absolute,LATAM,0.4999,0.2781,0.2938,0.3405,1
70,Bolivia,BOL,2008,2008 (Income),Gini,Relative,LATAM,0.4999,55.631126225245,58.7717543508702,68.1136227245449,1
71,Bolivia,BOL,2008,2008 (Income),MLD,Absolute,LATAM,0.5048,0.1311,0.1442,0.2375,1
72,Bolivia,BOL,2008,2008 (Income),MLD,Relative,LATAM,0.5048,25.9706814580032,28.5657686212361,47.0483359746434,1
73,Brazil,BRA,2014,2014 (Income),Gini,Absolute,LATAM,0.4875,0.3218,0.3203,0.3393,1
74,Brazil,BRA,2014,2014 (Income),Gini,Relative,LATAM,0.4875,66.0102564102564,65.7025641025641,69.6,1
75,Brazil,BRA,2014,2014 (Income),MLD,Absolute,LATAM,0.4266,0.1652,0.1626,0.1913,1
76,Brazil,BRA,2014,2014 (Income),MLD,Relative,LATAM,0.4266,38.7248007501172,38.1153305203938,44.8429442100328,1
77,Bulgaria,BG,2011,2011 (Income),Gini,Absolute,Europe,0.328,0.1473,0.1468,0.1573,0
