,name,iso,y,c,Circumstances,latest,var,Region,Approach1,Value,Measure,Approach,Perspective
47,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante_rel,24.5811757538836,Gini,Relative,Ex-Ante Tree
48,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost,0.0753,Gini,Absolute,Ex-Post Tree
49,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost_rel,22.9363387145903,Gini,Relative,Ex-Post Tree
50,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD,0.1885,MLD,Absolute,NA
51,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante,0.0154,MLD,Absolute,Ex-Ante Random Forest
52,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante_rel,8.16976127320955,MLD,Relative,Ex-Ante Random Forest
53,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante,0.0107,MLD,Absolute,Ex-Ante Tree
54,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante_rel,5.6763925729443,MLD,Relative,Ex-Ante Tree
55,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost,0.0098,MLD,Absolute,Ex-Post Tree
56,Australia,AUS,2007,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost_rel,5.19893899204244,MLD,Relative,Ex-Post Tree
57,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini,0.315,Gini,Absolute,NA
58,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante,0.0878,Gini,Absolute,Ex-Ante Random Forest
59,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante_rel,27.8730158730159,Gini,Relative,Ex-Ante Random Forest
60,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante,0.0756,Gini,Absolute,Ex-Ante Tree
61,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante_rel,24,Gini,Relative,Ex-Ante Tree
62,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost,0.0776,Gini,Absolute,Ex-Post Tree
63,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost_rel,24.6349206349206,Gini,Relative,Ex-Post Tree
64,Australia,AUS,2009,AUS,all,0,Income,Asia + Oceania,MLD,0.179,MLD,Absolute,NA
